row_id,population_code,population,indicator_code,indicator,unit_code,unit,geo_code,geo,2021,2023
21007,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,AT,Austria,53.21,50.22
21008,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,BA,Bosnia and Herzegovina,:,30.94
21009,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,BE,Belgium,21.47,34.44
21010,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,BG,Bulgaria,24.42,29.03
21011,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,CH,Switzerland,49.38,53.43
21012,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,CY,Cyprus,47.4,47.11
21013,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,CZ,Czechia,22.51,48.38 b
21014,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,DE,Germany,28.83,46.49
21015,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,DK,Denmark,59.58,61.16
21016,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,EA,Euro area,43.05,47.61 e
21017,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,EE,Estonia,46.52,51.73
21018,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,EL,Greece,28.26,25.94
21019,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,ES,Spain,49.21,50.39
21020,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,EU27_2020,European Union - 27 countries (from 2020),41.94,47.03 e
21021,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,FI,Finland,67.56,68.66
21022,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,FR,France,50.53,47.92
21023,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,HR,Croatia,42.06,51.37
21024,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,HU,Hungary,40.08,49.54
21025,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,IE,Ireland,53.14,:
21026,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,IS,Iceland,58.75,:
21027,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,IT,Italy,45.02,47.4
21028,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,LT,Lithuania,48.04,45.15
21029,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,LU,Luxembourg,50.36,44.37
21030,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,LV,Latvia,43.86,43.45
21031,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,MK,North Macedonia,13.18,:
21032,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,MT,Malta,30.28,39.49
21033,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,NL,Netherlands,63.15,67.97
21034,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,NO,Norway,64.48,67.5
21035,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,PL,Poland,41.5,49.26
21036,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,PT,Portugal,22.04,23.45
21037,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,RO,Romania,22.25,26.45
21038,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,SE,Sweden,55.18,56.45
21039,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,SI,Slovenia,37.36,42.31
21040,IND_DEG1,Live in cities,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,SK,Slovakia,37.36,34.09
21075,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,AT,Austria,53.34,51.92
21076,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,BA,Bosnia and Herzegovina,:,20.48
21077,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,BE,Belgium,30.27,28.91
21078,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,BG,Bulgaria,24.74,25.56
21079,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,CH,Switzerland,43.97,44.96
21080,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,CY,Cyprus,17,31.34
21081,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,CZ,Czechia,35.63,37.46
21082,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,DE,Germany,34.83,40.64
21083,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,DK,Denmark,38.22,40.6
21084,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,EA,Euro area,39.75,41.74 e
21085,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,EE,Estonia,38.56,45.47
21086,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,EL,Greece,22.53,24.09
21087,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,ES,Spain,44.57,47.01
21088,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,EU27_2020,European Union - 27 countries (from 2020),37.63,39.99 e
21089,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,FI,Finland,59.6,66.67
21090,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,FR,France,45.73,45.54
21091,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,HR,Croatia,26.2,21.43
21092,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,HU,Hungary,29.73,34.53
21093,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,IE,Ireland,47.34,:
21094,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,IS,Iceland,44.08,:
21095,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,IT,Italy,31.5,32.88
21096,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,LT,Lithuania,39.64,37.24
21097,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,LU,Luxembourg,49.59,45.73
21098,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,LV,Latvia,26,23.96
21099,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,MK,North Macedonia,11.54,:
21100,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,MT,Malta,34.07,38.41
21101,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,NL,Netherlands,48.18,50.78
21102,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,NO,Norway,44.28,48.68
21103,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,PL,Poland,29.62,34.34
21104,IND_DEG1,Live in cities,I_CEPVA1,"Edited photos, video or audio files, last 3 months",PC_IND,% people,PT,Portugal,42.97,46.16
