NUTS, Total Population
AL011,107742
AL012,287616
AL013,71633
AL014,115343
AL015,190016
AL021,254877
AL022,909226
AL031,113115
AL032,273873
AL033,54348
AL034,194154
AL035,182269
AT111,37433
AT112,162811
AT113,96917
AT121,247593
AT122,263046
AT123,157894
AT124,214934
AT125,126142
AT126,337590
AT127,348750
AT130,1929045
AT211,292814
AT212,123079
AT213,147620
AT221,452852
AT222,79372
AT223,156888
AT224,265535
AT225,197986
AT226,98108
AT311,292868
AT312,601323
AT313,211347
AT314,156284
AT315,241454
AT321,20110
AT322,170076
AT323,371286
AT331,33238
AT332,312781
AT333,48666
AT334,105933
AT335,262325
AT342,307988
AZ000,10300196
BA010,21589
BA011,207508
BA012,75963
BA013,406687
BA014,39040
BA015,239027
BA016,420308
BA017,255561
BA018,89741
BA019,342660
BA027,1091733
BA031,79199
BE100,1224475
BE211,1066509
BE212,352180
BE213,472859
BE223,207760
BE224,425175
BE225,255438
BE231,299587
BE232,204877
BE233,87734
BE234,570512
BE235,126329
BE236,259788
BE241,658261
BE242,519613
BE251,283794
BE252,52090
BE253,107282
BE254,297029
BE255,158281
BE256,156831
BE257,94658
BE258,61785
BE310,410847
BE323,260769
BE328,224520
BE329,141805
BE32A,129757
BE32B,397264
BE32C,107029
BE32D,92681
BE331,115235
BE332,625146
BE334,83300
BE335,210119
BE336,78812
BE341,64360
BE342,50157
BE343,57463
BE344,65151
BE345,54992
BE351,112650
BE352,321204
BE353,66738
BG311,78509
BG312,121777
BG313,153210
BG314,227674
BG315,119449
BG321,225204
BG322,103112
BG323,208663
BG324,107523
BG325,104636
BG331,468651
BG332,166968
BG333,169169
BG334,107896
BG341,408776
BG342,179790
BG343,114112
BG344,306681
BG411,1308026
BG412,233022
BG413,297989
BG414,117736
BG415,113039
BG421,662757
BG422,219896
BG423,246917
BG424,98998
BG425,161151
BY011,2042255
BY012,1499630
BY021,1353544
BY022,1028948
BY031,1387716
BY032,1022647
BY033,1127715
CH011,822842
CH012,353268
CH013,508967
CH021,1046188
CH022,329880
CH023,280154
CH024,175894
CH025,73677
CH031,195496
CH032,292545
CH033,703175
CH040,1563520
CH051,41173
CH052,83994
CH053,55531
CH054,16341
CH055,519056
CH056,201229
CH057,285952
CH061,420190
CH062,37017
CH063,163657
CH064,38416
CH065,43871
CH066,129713
CH070,351799
CY000,886751
CZ010,1283124
CZ020,1394730
CZ031,639778
CZ032,581458
CZ041,284111
CZ042,801801
CZ051,439388
CZ052,544585
CZ053,516663
CZ063,506114
CZ064,1189977
CZ071,625208
CZ072,574608
CZ080,1182047
DE111,636806
DE112,397130
DE113,538372
DE114,260824
DE115,550366
DE116,431184
DE117,127435
DE118,350146
DE119,113960
DE11A,199878
DE11B,133782
DE11C,133994
DE11D,316918
DE121,55778
DE122,313559
DE123,450804
DE124,233926
DE125,160717
DE126,314482
DE127,144961
DE128,552841
DE129,126991
DE12A,161732
DE12B,201380
DE12C,119245
DE131,234050
DE132,266783
DE133,168039
DE134,435998
DE135,141368
DE136,214242
DE137,142885
DE138,289436
DE139,230752
DE13A,172452
DE141,289637
DE142,231347
DE143,191313
DE144,128528
DE145,200210
DE146,204501
DE147,219500
DE148,288681
DE149,131980
DE211,138007
DE212,1514454
DE213,64067
DE214,112000
DE215,106835
DE216,129725
DE217,157985
DE218,146642
DE219,134975
DE21A,141320
DE21B,182550
DE21C,221910
DE21D,88677
DE21E,122178
DE21F,101168
DE21G,117451
DE21H,354650
DE21I,98957
DE21J,131159
DE21K,264455
DE21L,138023
DE21M,178571
DE21N,136984
DE221,74143
DE222,52261
DE223,47924
DE224,119706
DE225,78291
DE226,124540
DE227,163214
DE228,193893
DE229,76982
DE22A,122260
DE22B,102447
DE22C,98196
DE231,41953
DE232,154024
DE233,42352
DE234,102445
DE235,128088
DE236,135848
DE237,94129
DE238,196685
DE239,148905
DE23A,70944
DE241,76698
DE242,73354
DE243,40568
DE244,44780
DE245,148302
DE246,103449
DE247,86018
DE248,117131
DE249,93256
DE24A,65314
DE24B,70662
DE24C,66314
DE24D,70744
DE251,41695
DE252,112515
DE253,129717
DE254,518358
DE255,41506
DE256,185653
DE257,139077
DE258,119160
DE259,172016
DE25A,101208
DE25B,127443
DE25C,95299
DE261,70801
DE262,52883
DE263,126723
DE264,174678
DE265,102627
DE266,79017
DE267,84132
DE268,91840
DE269,128227
DE26A,125218
DE26B,115857
DE26C,163149
DE271,299084
DE272,44874
DE273,69130
DE274,44586
DE275,136540
DE276,258919
DE277,96995
DE278,127681
DE279,176570
DE27A,82095
DE27B,142936
DE27C,147284
DE27D,135148
DE27E,157084
DE300,3735803
DE401,71223
DE402,96880
DE403,55716
DE404,184839
DE405,188205
DE406,173879
DE407,98829
DE408,165263
DE409,197618
