row_id,population_code,population,indicator_code,indicator,unit_code,unit,geo_code,geo,2021,2023
34327,M_Y25_64,Male age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,AL,Albania,6.42,:
34328,M_Y25_64,Male age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,AT,Austria,53.15,52.6
34329,M_Y25_64,Male age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,BA,Bosnia and Herzegovina,18.92,35.63
34330,M_Y25_64,Male age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,BE,Belgium,29.93,40.82
34331,M_Y25_64,Male age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,BG,Bulgaria,21.09,23.96
34332,M_Y25_64,Male age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,CH,Switzerland,52.89,54.79
34333,M_Y25_64,Male age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,CY,Cyprus,38.68,50.06
34334,M_Y25_64,Male age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,CZ,Czechia,23,45.13 b
34335,M_Y25_64,Male age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,DE,Germany,32.45,49.54
34336,M_Y25_64,Male age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,DK,Denmark,61.5,64.09
34337,M_Y25_64,Male age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,EA,Euro area,43.42,48.16 e
34338,M_Y25_64,Male age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,EE,Estonia,47.42,54.73
34339,M_Y25_64,Male age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,EL,Greece,23.54,29.29
34340,M_Y25_64,Male age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,ES,Spain,50.24,50.02
34341,M_Y25_64,Male age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,EU27_2020,European Union - 27 countries (from 2020),41.61,46.66 e
34342,M_Y25_64,Male age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,FI,Finland,65.37,69.24
34343,M_Y25_64,Male age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,FR,France,49.02,45.87
34344,M_Y25_64,Male age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,HR,Croatia,44.71,54.58
34345,M_Y25_64,Male age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,HU,Hungary,36.08,44.85
34346,M_Y25_64,Male age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,IE,Ireland,55.62,:
34347,M_Y25_64,Male age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,IS,Iceland,67.18,:
34348,M_Y25_64,Male age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,IT,Italy,47.72,48.21
34349,M_Y25_64,Male age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,LT,Lithuania,41.14,38.68
34350,M_Y25_64,Male age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,LU,Luxembourg,48.17,47.01
34351,M_Y25_64,Male age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,LV,Latvia,39.77,33.31
