row_id,population_code,population,indicator_code,indicator,unit_code,unit,geo_code,geo,2021,2023
5509,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,AL,Albania,1.5,
5510,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,AT,Austria,26.1,24.33
5511,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,BA,Bosnia and Herzegovina,1.31,9.39
5512,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,BE,Belgium,5.05,14.67
5513,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,BG,Bulgaria,6.52,9.02
5514,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,CH,Switzerland,17.77,30.35
5515,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,CY,Cyprus,19.45,17.56
5516,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,CZ,Czechia,8.8,
5517,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,DE,Germany,10.57,23.04
5518,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,DK,Denmark,35.73,36.0
5519,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,EA,Euro area,19.62,
5520,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,EE,Estonia,32.43,41.9
5521,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,EL,Greece,5.11,5.36
5522,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,ES,Spain,23.85,28.19
5523,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,EU27_2020,European Union - 27 countries (from 2020),19.52,
5524,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,FI,Finland,56.07,66.01
5525,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,FR,France,25.53,25.92
5526,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,HR,Croatia,6.79,13.07
5527,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,HU,Hungary,11.79,18.74
5528,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,IE,Ireland,,
5529,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,IS,Iceland,34.17,
5530,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,IT,Italy,19.16,20.02
5531,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,LT,Lithuania,46.17,49.15
5532,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,LU,Luxembourg,20.49,20.04
5533,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,LV,Latvia,41.93,30.52
5534,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,ME,Montenegro,7.88,14.13
5535,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,MK,North Macedonia,0.98,
5536,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,MT,Malta,14.03,13.13
5537,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,NL,Netherlands,42.35,47.28
5538,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,NO,Norway,42.47,43.24
5539,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,PL,Poland,38.49,38.93
5540,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,PT,Portugal,3.18,2.74
5541,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,RO,Romania,8.45,7.86
5542,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,RS,Serbia,12.2,12.64
5543,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,SE,Sweden,36.91,35.7
5544,F_I0_2,Female with low formal education,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,SI,Slovenia,21.46,21.97
